sensor_id,sensor_type,timestamp,value_type,value,location,lat,lon,location_name
49,pms5003,3/1/2024 3:10,P1,7,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:10,P0,5,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:10,humidity,99.9,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:10,temperature,19.1,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
79,SDS011,3/1/2024 3:11,P2,15.2,76,-1.261,36.782,"St. Mary's School Nairobi Games Pitches, Mahiga Mairu Avenue, Muthangari sublocation, Kileleshwa location, Kilimani division, Westlands, Nairobi, 97104, Kenya"
79,SDS011,3/1/2024 3:11,P1,15.2,76,-1.261,36.782,"St. Mary's School Nairobi Games Pitches, Mahiga Mairu Avenue, Muthangari sublocation, Kileleshwa location, Kilimani division, Westlands, Nairobi, 97104, Kenya"
79,SDS011,3/1/2024 3:11,P0,11.2,76,-1.261,36.782,"St. Mary's School Nairobi Games Pitches, Mahiga Mairu Avenue, Muthangari sublocation, Kileleshwa location, Kilimani division, Westlands, Nairobi, 97104, Kenya"
80,DHT22,3/1/2024 3:11,humidity,77.4,76,-1.261,36.782,"St. Mary's School Nairobi Games Pitches, Mahiga Mairu Avenue, Muthangari sublocation, Kileleshwa location, Kilimani division, Westlands, Nairobi, 97104, Kenya"
80,DHT22,3/1/2024 3:11,temperature,21.6,76,-1.261,36.782,"St. Mary's School Nairobi Games Pitches, Mahiga Mairu Avenue, Muthangari sublocation, Kileleshwa location, Kilimani division, Westlands, Nairobi, 97104, Kenya"
49,pms5003,3/1/2024 3:11,P2,9.2,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:11,P1,9.2,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:11,P0,6,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:11,humidity,99.9,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:11,temperature,19.1,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
800,pms5003,3/1/2024 3:11,P2,10,35,-1.297,36.743,"Riruta ward, Kawangware division, Dagoretti, Nairobi, 00505, Kenya"
800,pms5003,3/1/2024 3:11,P1,10,35,-1.297,36.743,"Riruta ward, Kawangware division, Dagoretti, Nairobi, 00505, Kenya"
800,pms5003,3/1/2024 3:11,P0,8,35,-1.297,36.743,"Riruta ward, Kawangware division, Dagoretti, Nairobi, 00505, Kenya"
49,pms5003,3/1/2024 3:12,P2,6,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:12,P1,7.2,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
49,pms5003,3/1/2024 3:12,P0,3.6,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:12,humidity,99.9,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
50,DHT22,3/1/2024 3:12,temperature,19.1,3573,-1.289,36.825,"Barclays, Harambee Avenue, City Square sublocation, Starehe location, CBD division, Starehe, Nairobi, 00300, Kenya"
